id,título,año,género,director,duración,calificación,país
42,Titanic,1969,Romance,Wachowski Sisters,109,6.2,France
43,Inception,1957,Musical,Damien Chazelle,110,4.8,Canada
44,Schindler's List,1962,Acción,Damien Chazelle,152,7.3,France
45,The Godfather,1969,Ciencia Ficción,George Lucas,169,2.9,Italy
46,The Shawshank Redemption,1984,Acción,George Lucas,139,2.5,Italy
47,The Lord of the Rings,2011,Thriller,David Fincher,85,1.9,UK
48,Parasite,1961,Drama,Francis Ford Coppola,102,4.7,Spain
49,Parasite,1972,Romance,David Fincher,89,3.3,Australia
50,Inception,1990,Thriller,Bong Joon-ho,114,5.9,Spain
51,The Dark Knight,2007,Musical,Wachowski Sisters,82,3.4,Italy
52,The Lion King,2003,Comedia,Damien Chazelle,97,5.4,South Korea
53,Forrest Gump,2019,Comedia,Bong Joon-ho,176,1.2,France
54,The Shawshank Redemption,1976,Musical,Steven Spielberg,136,5.7,Japan
55,The Godfather,2023,Acción,James Cameron,118,5.8,Australia
56,Parasite,1992,Animación,Ridley Scott,159,9.5,Italy
57,Interstellar,1977,Comedia,Ridley Scott,147,3.8,Germany
58,Parasite,2021,Romance,Steven Spielberg,101,1.3,Japan
59,The Lion King,2021,Historia,Bong Joon-ho,94,6.4,Japan
60,The Godfather,2010,Romance,Ridley Scott,141,7.3,UK
61,The Shawshank Redemption,1951,Romance,Steven Spielberg,128,3.4,UK
62,Fight Club,2008,Drama,Ridley Scott,130,6.4,UK
63,Avengers: Endgame,2014,Animación,Ridley Scott,169,3.5,France
64,Avengers: Endgame,1979,Acción,Martin Scorsese,123,5.6,France
65,Pulp Fiction,2020,Historia,George Lucas,142,4.8,South Korea
66,Spirited Away,2003,Romance,David Fincher,105,10.0,Canada
67,La La Land,1972,Crimen,Francis Ford Coppola,123,4.6,Canada
68,Titanic,1968,Thriller,James Cameron,105,8.0,USA
69,The Godfather,1961,Romance,Quentin Tarantino,152,7.4,Spain
70,The Lion King,2016,Drama,Quentin Tarantino,99,2.4,South Korea
71,Avengers: Endgame,1991,Musical,Steven Spielberg,132,7.6,Japan
72,Pulp Fiction,2018,Drama,Francis Ford Coppola,145,3.5,Japan
73,Schindler's List,1976,Historia,Ridley Scott,110,4.7,UK
74,La La Land,1967,Comedia,Quentin Tarantino,169,4.5,Spain
75,La La Land,1951,Ciencia Ficción,Christopher Nolan,151,5.8,Germany
76,Gladiator,2020,Crimen,Steven Spielberg,90,4.4,Australia
77,Spirited Away,1974,Musical,Steven Spielberg,111,4.1,Italy
78,Schindler's List,2001,Romance,Peter Jackson,85,1.4,Germany
79,Pulp Fiction,2000,Ciencia Ficción,Christopher Nolan,126,1.9,USA
80,Parasite,2017,Drama,Francis Ford Coppola,175,5.9,Australia
81,Titanic,1999,Comedia,Hayao Miyazaki,140,5.7,Japan
82,Schindler's List,1999,Musical,David Fincher,167,5.3,Spain
83,Interstellar,1967,Animación,Peter Jackson,123,1.6,USA
84,Spirited Away,1966,Drama,Quentin Tarantino,90,4.7,South Korea
85,Star Wars,1996,Crimen,Wachowski Sisters,144,8.7,UK
86,Inception,1985,Historia,David Fincher,147,5.8,Australia
87,Star Wars,1955,Crimen,Wachowski Sisters,149,9.9,Spain
88,Avengers: Endgame,1955,Comedia,Steven Spielberg,113,3.1,South Korea
89,The Lord of the Rings,1965,Animación,Hayao Miyazaki,144,9.5,USA
90,Forrest Gump,1988,Ciencia Ficción,Christopher Nolan,127,1.5,UK
91,Forrest Gump,1965,Ciencia Ficción,James Cameron,145,2.8,Canada
92,Inception,1951,Comedia,James Cameron,107,5.7,South Korea
93,La La Land,2009,Historia,George Lucas,132,7.3,Italy
94,The Lord of the Rings,1961,Ciencia Ficción,David Fincher,154,6.9,Italy
95,Parasite,1989,Thriller,Bong Joon-ho,115,9.1,Australia
96,The Dark Knight,1963,Romance,Quentin Tarantino,139,6.7,UK
97,The Godfather,2018,Ciencia Ficción,Damien Chazelle,92,9.2,Australia
98,The Lord of the Rings,2010,Crimen,Steven Spielberg,137,8.5,USA
99,The Godfather,1970,Thriller,Christopher Nolan,103,3.5,USA
100,La La Land,1996,Drama,Steven Spielberg,109,7.7,Italy
101,Forrest Gump,2010,Ciencia Ficción,Christopher Nolan,95,8.5,South Korea
102,The Dark Knight,1991,Romance,Wachowski Sisters,166,5.1,Spain
103,Forrest Gump,2012,Thriller,Bong Joon-ho,149,2.9,Japan
104,Avengers: Endgame,1957,Ciencia Ficción,Damien Chazelle,97,1.6,France
105,The Godfather,1973,Crimen,Bong Joon-ho,102,1.3,France
106,Spirited Away,1994,Romance,Ridley Scott,85,3.8,Spain
107,The Lion King,1951,Drama,Damien Chazelle,157,4.8,Italy
108,Titanic,1953,Thriller,James Cameron,93,4.6,USA
109,The Godfather,1950,Historia,Martin Scorsese,160,2.6,Japan
110,Fight Club,2017,Comedia,Quentin Tarantino,140,7.7,Germany
111,The Dark Knight,2017,Historia,Christopher Nolan,129,4.7,France
112,Parasite,1999,Acción,Damien Chazelle,89,8.7,USA
113,The Shawshank Redemption,1993,Drama,Damien Chazelle,172,3.3,Australia
114,Parasite,1954,Animación,Ridley Scott,127,5.4,Italy
115,Forrest Gump,1964,Ciencia Ficción,Damien Chazelle,114,4.4,Canada
116,Parasite,1986,Crimen,James Cameron,134,4.8,Japan
117,Jurassic Park,2017,Musical,David Fincher,137,3.1,Australia
118,The Dark Knight,1971,Comedia,Ridley Scott,163,9.3,France
119,Interstellar,1968,Acción,Bong Joon-ho,100,2.7,South Korea
120,Interstellar,2020,Historia,Hayao Miyazaki,152,4.0,Japan
121,The Shawshank Redemption,1973,Historia,Bong Joon-ho,127,5.8,Japan
122,Spirited Away,1996,Acción,Christopher Nolan,158,6.5,Italy
123,Parasite,1953,Acción,Martin Scorsese,173,1.9,Germany
124,The Matrix,1996,Drama,Peter Jackson,134,5.7,Canada
125,La La Land,1989,Thriller,Bong Joon-ho,142,4.5,Canada
126,Gladiator,2004,Historia,Quentin Tarantino,178,4.5,Spain
127,Inception,1994,Animación,Peter Jackson,144,4.6,France
128,Pulp Fiction,1970,Acción,David Fincher,146,2.2,Spain
129,La La Land,2019,Ciencia Ficción,Hayao Miyazaki,144,2.5,USA
130,The Lion King,2021,Historia,Francis Ford Coppola,157,2.3,USA
131,The Shawshank Redemption,1988,Drama,Ridley Scott,113,9.0,France
132,Fight Club,2022,Musical,George Lucas,137,3.7,Canada
133,The Godfather,2003,Historia,Wachowski Sisters,143,1.8,Canada
134,Gladiator,1967,Acción,Christopher Nolan,105,4.4,UK
135,Inception,2014,Comedia,Martin Scorsese,85,8.0,Germany
136,Gladiator,1983,Musical,Christopher Nolan,90,5.6,UK
137,La La Land,1992,Thriller,Wachowski Sisters,92,2.7,Spain
138,Spirited Away,1987,Historia,Steven Spielberg,95,4.9,Canada
139,Pulp Fiction,2020,Ciencia Ficción,Christopher Nolan,155,7.8,Canada
140,Pulp Fiction,2012,Drama,Bong Joon-ho,91,7.9,Spain
141,Jurassic Park,1957,Thriller,Martin Scorsese,98,8.6,Spain
142,Schindler's List,1973,Comedia,Steven Spielberg,153,7.7,Australia
143,The Lord of the Rings,1967,Thriller,David Fincher,81,2.4,Australia
144,Schindler's List,1984,Crimen,David Fincher,161,6.7,Spain
145,The Dark Knight,2013,Romance,Peter Jackson,91,4.2,France
146,The Matrix,1997,Animación,Quentin Tarantino,142,2.7,Canada
147,Avengers: Endgame,1971,Historia,David Fincher,136,4.8,Spain
148,Interstellar,1987,Romance,Peter Jackson,171,2.6,USA
149,The Lord of the Rings,2013,Animación,Wachowski Sisters,120,1.0,Japan
150,The Lion King,1978,Ciencia Ficción,George Lucas,154,8.6,Germany
151,Forrest Gump,1999,Crimen,Peter Jackson,173,2.8,Japan
152,The Dark Knight,1971,Ciencia Ficción,Martin Scorsese,127,6.2,UK
153,Avengers: Endgame,2014,Thriller,Damien Chazelle,112,5.3,Canada
154,Schindler's List,2012,Crimen,James Cameron,93,5.4,France
155,Spirited Away,1964,Drama,Wachowski Sisters,124,2.1,South Korea
156,The Matrix,1986,Musical,Quentin Tarantino,113,8.2,USA
157,The Lord of the Rings,1954,Thriller,James Cameron,121,8.3,South Korea
158,La La Land,1978,Historia,Francis Ford Coppola,89,3.3,South Korea
159,Jurassic Park,1995,Ciencia Ficción,Bong Joon-ho,162,9.8,Italy
160,La La Land,1950,Crimen,Damien Chazelle,91,3.8,Japan
161,Interstellar,1990,Ciencia Ficción,Quentin Tarantino,115,1.2,Spain
162,Forrest Gump,1993,Comedia,Ridley Scott,157,1.1,South Korea
163,The Dark Knight,1980,Comedia,Steven Spielberg,157,8.5,South Korea
164,Schindler's List,2009,Thriller,Francis Ford Coppola,170,2.9,Japan
165,Parasite,1994,Crimen,Bong Joon-ho,129,2.3,Japan
166,Inception,2005,Musical,George Lucas,118,2.7,Australia
167,Inception,1965,Romance,Ridley Scott,98,4.8,UK
168,Star Wars,2003,Ciencia Ficción,David Fincher,119,5.9,France
169,The Lion King,1975,Musical,Damien Chazelle,124,1.6,Germany
170,Pulp Fiction,1959,Historia,Steven Spielberg,98,2.4,UK
171,The Godfather,2010,Ciencia Ficción,George Lucas,174,1.1,South Korea
172,The Dark Knight,2003,Historia,Quentin Tarantino,155,7.1,UK
173,The Godfather,1978,Drama,Hayao Miyazaki,153,2.1,UK
174,Parasite,1962,Crimen,Hayao Miyazaki,135,2.1,USA
175,Schindler's List,2014,Animación,Steven Spielberg,109,4.1,Japan
176,The Shawshank Redemption,1989,Animación,Ridley Scott,87,9.1,Australia
177,The Dark Knight,2003,Historia,Bong Joon-ho,169,3.4,UK
178,Fight Club,1955,Animación,George Lucas,157,6.4,Germany
179,The Godfather,1981,Romance,Christopher Nolan,122,6.0,Spain
180,The Shawshank Redemption,1998,Drama,Quentin Tarantino,118,6.0,Japan
181,The Matrix,1998,Crimen,Martin Scorsese,99,7.0,Australia
182,La La Land,2002,Crimen,Christopher Nolan,89,5.3,South Korea
183,Forrest Gump,1998,Animación,Hayao Miyazaki,125,3.8,Italy
184,Spirited Away,1981,Musical,Peter Jackson,120,1.8,Germany
185,The Matrix,1956,Thriller,Francis Ford Coppola,133,7.5,Italy
186,Fight Club,2011,Crimen,Hayao Miyazaki,156,4.8,Italy
187,Parasite,1987,Ciencia Ficción,Christopher Nolan,166,3.3,Italy
188,Spirited Away,2020,Historia,Ridley Scott,119,9.3,Spain
189,The Lord of the Rings,1973,Thriller,Steven Spielberg,130,4.2,USA
190,The Dark Knight,1952,Musical,Ridley Scott,167,6.5,USA
191,La La Land,1973,Comedia,Hayao Miyazaki,136,5.8,Australia
192,Spirited Away,2005,Romance,George Lucas,147,5.6,USA
193,The Shawshank Redemption,1970,Romance,Steven Spielberg,140,7.4,Germany
194,Titanic,1954,Ciencia Ficción,Steven Spielberg,114,2.0,Australia
195,Spirited Away,1986,Drama,Francis Ford Coppola,146,5.4,France
196,Spirited Away,2001,Animación,David Fincher,87,1.9,Japan
197,Avengers: Endgame,1971,Animación,Steven Spielberg,137,2.3,UK
198,Titanic,1950,Drama,Wachowski Sisters,140,3.0,Spain
199,Spirited Away,2023,Acción,Martin Scorsese,174,6.7,France
200,The Matrix,1969,Thriller,Christopher Nolan,86,5.2,France
201,Inception,1972,Thriller,Francis Ford Coppola,89,9.9,Italy
202,The Shawshank Redemption,1987,Drama,Wachowski Sisters,123,8.9,Australia
203,Jurassic Park,1964,Crimen,Ridley Scott,106,9.3,Italy
204,Interstellar,1965,Historia,Ridley Scott,169,6.5,Italy
205,Schindler's List,1975,Crimen,Martin Scorsese,86,7.2,Japan
206,Forrest Gump,1982,Acción,Christopher Nolan,124,4.6,Australia
207,Interstellar,1971,Ciencia Ficción,Wachowski Sisters,103,8.7,Japan
208,La La Land,1986,Animación,Bong Joon-ho,105,2.5,Japan
209,Pulp Fiction,1963,Thriller,Damien Chazelle,155,5.1,UK
210,Inception,1960,Ciencia Ficción,David Fincher,132,6.6,Japan
211,The Lion King,2004,Thriller,Bong Joon-ho,108,2.6,UK
212,Interstellar,1966,Comedia,Martin Scorsese,117,5.7,South Korea
213,Inception,1999,Comedia,Ridley Scott,165,9.2,Italy
214,Star Wars,2006,Crimen,Hayao Miyazaki,154,5.4,Germany
215,Avengers: Endgame,1983,Romance,Peter Jackson,156,6.6,Italy
216,Gladiator,1958,Animación,Steven Spielberg,124,7.3,Australia
217,Interstellar,1973,Romance,Francis Ford Coppola,141,7.5,Germany
218,Parasite,1956,Animación,Wachowski Sisters,165,6.4,Italy
219,The Dark Knight,1958,Ciencia Ficción,Martin Scorsese,115,9.6,South Korea
220,Avengers: Endgame,1968,Musical,Martin Scorsese,105,5.2,South Korea
221,Jurassic Park,1967,Musical,Bong Joon-ho,161,2.8,Japan
222,Forrest Gump,1970,Animación,Francis Ford Coppola,145,5.7,Germany
223,The Dark Knight,1955,Drama,Bong Joon-ho,106,1.4,Canada
224,Gladiator,1982,Animación,Quentin Tarantino,84,1.1,Japan
225,Star Wars,1990,Crimen,George Lucas,167,4.1,Germany
226,The Shawshank Redemption,1960,Crimen,Francis Ford Coppola,117,5.8,Japan
227,The Lord of the Rings,1986,Romance,Francis Ford Coppola,123,2.9,Australia
228,La La Land,1998,Historia,Steven Spielberg,133,6.4,Australia
229,La La Land,1995,Romance,James Cameron,170,6.7,France
230,The Shawshank Redemption,1963,Drama,Peter Jackson,118,6.4,UK
231,The Dark Knight,1991,Acción,George Lucas,137,5.2,USA
232,Forrest Gump,2022,Acción,Martin Scorsese,128,3.6,France
233,Parasite,2016,Animación,Christopher Nolan,176,8.6,France
234,La La Land,1963,Historia,Ridley Scott,115,1.9,USA
235,The Matrix,2001,Thriller,Damien Chazelle,88,7.2,UK
236,The Matrix,2005,Comedia,Hayao Miyazaki,129,9.2,UK
237,The Matrix,1981,Acción,David Fincher,81,8.6,Italy
238,The Shawshank Redemption,1965,Romance,James Cameron,98,8.2,Spain
239,Star Wars,1968,Historia,Peter Jackson,135,3.7,Australia
240,Star Wars,2001,Crimen,David Fincher,91,4.8,France
241,Fight Club,1977,Crimen,Francis Ford Coppola,146,4.2,South Korea
242,The Lord of the Rings,2004,Romance,Peter Jackson,151,4.6,Canada
243,Inception,2005,Comedia,Damien Chazelle,157,2.9,Canada
244,Jurassic Park,1970,Comedia,Steven Spielberg,160,3.7,France
245,The Shawshank Redemption,1996,Comedia,Damien Chazelle,163,8.2,Australia
246,The Godfather,2022,Romance,Ridley Scott,110,8.8,UK
247,The Lion King,2020,Thriller,James Cameron,95,2.5,Japan
248,The Godfather,1991,Animación,Quentin Tarantino,123,3.3,USA
249,Avengers: Endgame,1967,Musical,Martin Scorsese,142,4.4,USA
250,Parasite,1977,Drama,Christopher Nolan,146,9.6,France
251,Forrest Gump,2015,Ciencia Ficción,Quentin Tarantino,146,7.9,Japan
252,Pulp Fiction,1960,Comedia,Bong Joon-ho,95,2.1,Japan
253,Avengers: Endgame,1968,Comedia,Christopher Nolan,162,3.0,Australia
254,Inception,1994,Animación,Damien Chazelle,100,1.1,Spain
255,La La Land,1993,Acción,Hayao Miyazaki,166,5.4,South Korea
256,Fight Club,2001,Drama,Bong Joon-ho,89,4.0,Italy
257,The Lion King,1981,Romance,Quentin Tarantino,179,4.9,Spain
258,Star Wars,1990,Musical,Francis Ford Coppola,103,4.3,Italy
259,The Matrix,1993,Animación,George Lucas,150,7.2,France
260,The Godfather,1966,Drama,Wachowski Sisters,94,7.8,Germany
261,Inception,1996,Crimen,Christopher Nolan,175,3.8,Australia
262,The Lord of the Rings,2020,Ciencia Ficción,Francis Ford Coppola,88,3.6,Japan
263,Interstellar,1996,Drama,Peter Jackson,94,3.7,USA
264,The Matrix,2012,Animación,Martin Scorsese,101,5.1,UK
265,The Lion King,2023,Historia,Bong Joon-ho,105,2.7,Italy
266,Fight Club,2003,Acción,Wachowski Sisters,159,9.5,Spain
267,The Dark Knight,1976,Acción,Wachowski Sisters,179,8.5,France
268,La La Land,1982,Historia,Steven Spielberg,149,8.9,UK
269,La La Land,1982,Acción,Steven Spielberg,104,3.5,Japan
270,Titanic,2017,Musical,Bong Joon-ho,131,9.1,France
271,Fight Club,1991,Historia,Martin Scorsese,123,8.7,France
272,Inception,2002,Thriller,Steven Spielberg,121,8.3,Australia
273,Forrest Gump,1978,Drama,Christopher Nolan,167,8.9,Canada
274,Jurassic Park,1990,Thriller,Hayao Miyazaki,167,2.8,USA
275,Spirited Away,1958,Thriller,Christopher Nolan,132,6.2,Japan
276,Pulp Fiction,1965,Acción,Bong Joon-ho,133,6.0,South Korea
277,The Dark Knight,1990,Animación,Hayao Miyazaki,86,8.9,UK
278,The Lord of the Rings,2021,Crimen,Hayao Miyazaki,107,5.7,Italy
279,The Shawshank Redemption,1968,Thriller,James Cameron,160,9.6,UK
280,The Lord of the Rings,1974,Musical,Steven Spielberg,115,4.3,Canada
281,Inception,1998,Historia,Ridley Scott,107,7.9,Japan
282,La La Land,1996,Musical,Ridley Scott,130,3.8,Italy
283,The Lion King,1950,Historia,Francis Ford Coppola,129,7.9,UK
284,Star Wars,1970,Crimen,Christopher Nolan,167,2.9,Italy
285,Interstellar,1978,Historia,Hayao Miyazaki,134,4.3,Japan
286,The Godfather,1993,Romance,Martin Scorsese,94,4.2,Japan
287,Fight Club,1977,Ciencia Ficción,Ridley Scott,101,2.2,Canada
288,La La Land,1979,Drama,David Fincher,145,5.9,Germany
289,The Lord of the Rings,1950,Romance,Martin Scorsese,88,9.7,Australia
290,Interstellar,1958,Romance,Christopher Nolan,100,5.5,Spain
291,Forrest Gump,1982,Drama,Christopher Nolan,142,2.8,Australia
292,Gladiator,2000,Drama,David Fincher,124,1.8,Australia
293,The Lord of the Rings,1974,Ciencia Ficción,Quentin Tarantino,100,8.7,Spain
294,Pulp Fiction,1952,Historia,Wachowski Sisters,149,7.5,Japan
295,Spirited Away,1989,Ciencia Ficción,Hayao Miyazaki,131,6.1,Australia
296,La La Land,1971,Musical,Bong Joon-ho,102,3.6,USA
297,Fight Club,1965,Historia,George Lucas,102,6.4,UK
298,Spirited Away,1988,Acción,Francis Ford Coppola,94,6.1,USA
299,Pulp Fiction,2013,Acción,Ridley Scott,94,6.3,Japan
300,Fight Club,1951,Acción,Ridley Scott,152,5.7,UK
301,Fight Club,2016,Thriller,Hayao Miyazaki,99,8.2,Germany
302,Parasite,2005,Acción,Christopher Nolan,80,3.5,Italy
303,La La Land,1992,Crimen,Quentin Tarantino,88,3.4,UK
304,Interstellar,1977,Crimen,Martin Scorsese,81,7.6,USA
305,La La Land,1981,Crimen,Hayao Miyazaki,94,6.7,Italy
306,The Dark Knight,2000,Thriller,Christopher Nolan,168,6.8,Spain
307,The Lion King,2003,Historia,Peter Jackson,155,1.9,Germany
308,Parasite,1958,Animación,Ridley Scott,157,4.7,USA
309,Gladiator,1957,Historia,Quentin Tarantino,122,7.5,USA
310,The Shawshank Redemption,1986,Drama,James Cameron,80,2.5,Australia
311,La La Land,1968,Historia,Quentin Tarantino,89,2.3,Germany
312,The Godfather,2017,Animación,Bong Joon-ho,109,4.9,Australia
313,Parasite,1973,Animación,James Cameron,117,9.8,Japan
314,Pulp Fiction,2019,Thriller,Quentin Tarantino,139,2.8,Germany
315,Forrest Gump,2022,Drama,James Cameron,141,4.6,Germany
316,Forrest Gump,2017,Crimen,Francis Ford Coppola,111,2.1,Italy
317,Schindler's List,2011,Crimen,Hayao Miyazaki,178,1.2,Australia
318,Star Wars,1997,Comedia,Wachowski Sisters,88,7.7,France
319,Gladiator,1979,Thriller,Wachowski Sisters,120,9.7,Australia
320,La La Land,1982,Thriller,Ridley Scott,101,9.8,Italy
321,The Lord of the Rings,1959,Animación,Hayao Miyazaki,164,5.0,South Korea
322,The Matrix,1955,Acción,Steven Spielberg,131,7.3,Italy
323,Fight Club,1976,Historia,David Fincher,126,2.6,Italy
324,Pulp Fiction,1977,Animación,Quentin Tarantino,154,4.1,South Korea
325,The Lord of the Rings,2022,Crimen,Christopher Nolan,133,7.5,France
326,Titanic,2003,Animación,Martin Scorsese,120,8.2,Canada
327,Schindler's List,1975,Historia,Wachowski Sisters,119,2.6,USA
328,The Matrix,1954,Drama,Quentin Tarantino,160,1.8,France
329,The Godfather,1960,Thriller,Wachowski Sisters,114,9.9,Spain
330,The Godfather,2011,Animación,Hayao Miyazaki,128,7.5,UK
331,Titanic,1978,Drama,Martin Scorsese,131,3.1,South Korea
332,Parasite,2020,Drama,Ridley Scott,103,7.0,Germany
333,La La Land,1983,Crimen,Martin Scorsese,168,7.9,South Korea
334,Parasite,1953,Romance,Quentin Tarantino,108,8.9,Germany
335,Titanic,1955,Comedia,Quentin Tarantino,132,5.0,Canada
336,La La Land,1953,Animación,Christopher Nolan,157,1.9,Germany
337,Star Wars,2023,Historia,Peter Jackson,126,9.0,USA
338,Fight Club,2009,Historia,Steven Spielberg,131,5.1,South Korea
339,The Matrix,1985,Crimen,Peter Jackson,168,4.8,Australia
340,Pulp Fiction,1996,Acción,Hayao Miyazaki,151,4.0,South Korea
341,Forrest Gump,2018,Drama,Steven Spielberg,142,5.9,Germany
342,Fight Club,1957,Acción,Wachowski Sisters,129,4.2,USA
343,The Lord of the Rings,1967,Thriller,Bong Joon-ho,174,3.1,Canada
344,Fight Club,1972,Musical,Martin Scorsese,107,6.0,USA
345,Titanic,1995,Historia,Damien Chazelle,84,6.1,Germany
346,Forrest Gump,1994,Comedia,Steven Spielberg,163,8.7,France
347,Spirited Away,2016,Acción,Christopher Nolan,134,6.5,Italy
348,Avengers: Endgame,2011,Comedia,Steven Spielberg,139,4.3,Germany
349,The Lion King,1982,Ciencia Ficción,Quentin Tarantino,166,2.8,Australia
350,The Godfather,1961,Animación,Hayao Miyazaki,169,3.1,Spain
351,La La Land,1962,Crimen,Martin Scorsese,143,5.3,Spain
352,Spirited Away,1997,Comedia,Ridley Scott,150,9.6,Italy
353,Jurassic Park,1965,Comedia,Damien Chazelle,168,8.0,South Korea
354,Star Wars,1990,Crimen,Ridley Scott,143,5.5,Canada
355,Forrest Gump,1976,Drama,Quentin Tarantino,166,9.4,Japan
356,The Shawshank Redemption,2007,Historia,James Cameron,149,7.7,UK
357,Fight Club,1982,Thriller,Martin Scorsese,104,1.6,UK
358,The Dark Knight,2020,Animación,Wachowski Sisters,124,2.9,UK
359,Forrest Gump,1956,Thriller,Hayao Miyazaki,120,3.0,Japan
360,The Lion King,1976,Historia,James Cameron,168,6.8,Spain
361,Gladiator,2019,Historia,George Lucas,137,2.7,Spain
362,Pulp Fiction,1955,Acción,Steven Spielberg,93,6.5,Australia
363,Gladiator,1983,Comedia,David Fincher,96,5.5,Germany
364,Parasite,2012,Ciencia Ficción,Steven Spielberg,111,8.3,South Korea
365,Fight Club,1970,Acción,George Lucas,135,5.6,Australia
366,The Lion King,1999,Ciencia Ficción,Damien Chazelle,93,2.3,Canada
367,The Shawshank Redemption,2007,Ciencia Ficción,James Cameron,134,2.8,Australia
368,Parasite,1987,Romance,Hayao Miyazaki,112,8.4,Spain
369,Pulp Fiction,1976,Crimen,Wachowski Sisters,82,2.0,UK
370,Schindler's List,1973,Thriller,Peter Jackson,170,8.5,Canada
371,Pulp Fiction,1979,Drama,Quentin Tarantino,153,3.7,Spain
372,The Dark Knight,1980,Thriller,Ridley Scott,169,6.6,UK
373,The Godfather,1971,Acción,Damien Chazelle,121,1.3,Australia
374,Gladiator,1988,Drama,James Cameron,149,8.4,Japan
375,The Shawshank Redemption,2009,Crimen,Damien Chazelle,176,2.7,USA
376,Inception,1961,Historia,James Cameron,90,7.1,Canada
377,La La Land,2018,Comedia,Hayao Miyazaki,83,8.1,South Korea
378,Titanic,2022,Thriller,Christopher Nolan,137,6.6,South Korea
379,The Lion King,1956,Acción,Hayao Miyazaki,96,8.5,Italy
380,The Lord of the Rings,1957,Comedia,Martin Scorsese,149,8.3,Australia
381,Gladiator,2019,Comedia,James Cameron,89,7.1,Canada
382,The Lion King,1978,Drama,Hayao Miyazaki,89,4.6,Italy
383,The Lord of the Rings,1988,Comedia,Hayao Miyazaki,122,3.1,Italy
384,Jurassic Park,2023,Romance,Hayao Miyazaki,99,3.3,France
385,Forrest Gump,1950,Acción,George Lucas,118,1.5,Australia
386,Jurassic Park,1973,Thriller,Wachowski Sisters,161,8.1,Spain
387,Avengers: Endgame,1981,Animación,George Lucas,162,1.3,Japan
388,Schindler's List,1973,Crimen,Francis Ford Coppola,168,6.0,Germany
389,Pulp Fiction,1983,Musical,Hayao Miyazaki,128,7.6,Japan
390,Avengers: Endgame,1997,Drama,Damien Chazelle,97,1.9,Italy
391,Parasite,1985,Thriller,Martin Scorsese,147,4.7,France
392,Forrest Gump,1966,Drama,Bong Joon-ho,174,2.3,Spain
393,The Matrix,1983,Thriller,Wachowski Sisters,129,9.4,Japan
394,Spirited Away,2019,Thriller,Quentin Tarantino,144,2.9,Spain
